indice_tiempo,canasta_basica_alimentaria,inversa_coeficiente_engel,canasta_basica_total,linea_indigencia,linea_pobreza
2016-04-01,1514.53,2.42,3663.66,4679.91,11320.71
2016-05-01,1561.35,2.45,3830.77,4824.56,11837.08
2016-06-01,1614.32,2.44,3942.67,4988.25,12182.84
2016-07-01,1666.48,2.42,4033.76,5149.41,12464.33
2016-08-01,1675.05,2.41,4041.87,5175.92,12489.37
2016-09-01,1711.22,2.39,4089.82,5287.67,12637.53
2016-10-01,1739.34,2.41,4191.81,5374.56,12952.69
2016-11-01,1762.65,2.41,4247.99,5446.59,13126.29
2016-12-01,1766.62,2.41,4257.55,5458.86,13155.83
2017-01-01,1789.15,2.41,4311.85,5528.47,13323.62
2017-02-01,1821.02,2.43,4425.08,5626.95,13673.5
2017-03-01,1876.56,2.43,4560.04,5798.57,14090.52
2017-04-01,1915.47,2.45,4692.9,5918.8,14501.06
2017-05-01,1937.24,2.45,4746.24,5986.07,14665.88
2017-06-01,1956.42,2.45,4793.23,6045.34,14811.08
2017-07-01,1984.64,2.45,4862.37,6132.54,15024.72
2017-08-01,2021.98,2.44,4933.63,6247.92,15244.92
2017-09-01,2049.39,2.44,5000.51,6332.62,15451.58
2017-10-01,2079.23,2.44,5073.32,6424.82,15676.56
2017-11-01,2125.84,2.44,5187.05,6568.85,16027.98
2017-12-01,2150.29,2.51,5397.23,6644.4,16677.44
2018-01-01,2197.26,2.5,5493.15,6789.53,16973.83
2018-02-01,2261.23,2.51,5675.69,6987.2,17537.88
2018-03-01,2294.56,2.52,5782.29,7090.19,17867.28
2018-04-01,2308.11,2.56,5908.76,7132.06,18258.07
2018-05-01,2418.65,2.52,6095.0,7473.63,18833.55
2018-06-01,2537.45,2.5,6343.62,7840.72,19601.79
2018-07-01,2627.37,2.48,6515.88,8118.57,20134.07
2018-08-01,2701.48,2.5,6753.7,8347.57,20868.93
2018-09-01,2931.88,2.49,7300.38,9059.51,22558.17
2018-10-01,3150.62,2.49,7845.04,9735.42,24241.17
2018-11-01,3276.02,2.49,8157.29,10122.9,25206.03
2018-12-01,3300.17,2.5,8250.42,10197.53,25493.8
2019-01-01,3423.03,2.5,8557.58,10577.16,26442.92
2019-02-01,3597.77,2.48,8922.47,11117.11,27570.43
2019-03-01,3767.01,2.47,9304.51,11640.06,28750.94
2019-04-01,3833.28,2.49,9544.87,11844.84,29493.65
2019-05-01,3911.58,2.51,9818.07,12086.78,30337.84
2019-06-01,4016.09,2.51,10080.39,12409.72,31148.41
